name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging
Adam Frazier,KC,2B,104,262,35,53,10,1,4,22,22,59,3,.202,.282,.294,.576
Nick Gordon,MIA,OF,95,260,29,59,11,1,8,32,11,67,5,.227,.258,.369,.627
Kevin Pillar,LAA,OF,83,259,37,61,14,1,7,41,12,61,10,.236,.291,.378,.669
Isiah Kiner-Falefa,TOR,SS,83,257,32,75,8,2,7,33,13,37,3,.292,.338,.420,.758
Nolan Jones,COL,OF,79,256,28,58,13,1,3,28,36,91,5,.227,.321,.320,.641
Randal Grichuk,ARI,OF,106,254,40,74,20,2,12,46,20,46,0,.291,.348,.528,.876
Joey Bart,PIT,C,80,253,38,67,11,0,13,45,22,73,0,.265,.337,.462,.799
Brett Wisely,SF,2B,91,252,25,60,13,1,4,31,13,65,2,.238,.278,.345,.623
Dominic Smith,BOS,1B,84,249,29,59,20,0,6,34,25,65,1,.237,.317,.390,.707
Edmundo Sosa,PHI,SS,90,249,39,64,12,4,7,31,13,66,7,.257,.313,.422,.735
Vidal Brujan,MIA,2B,102,248,32,55,14,2,2,16,25,54,5,.222,.303,.319,.622
Jack Suwinski,PIT,OF,88,247,29,45,8,0,9,26,27,79,9,.182,.264,.324,.588
Kyle Higashioka,SD,C,84,246,29,54,10,1,17,45,15,74,2,.220,.263,.476,.739
Tyler Nevin,OAK,3B,87,245,22,50,10,0,7,20,25,64,1,.204,.288,.331,.619
Victor Caratini,HOU,C,87,245,30,66,8,1,8,30,23,53,0,.269,.336,.408,.744
Gary Sanchez,MIL,C,89,245,30,54,7,1,11,37,27,76,0,.220,.307,.392,.699
Jacob Stallings,COL,C,82,243,31,64,17,1,9,36,27,65,0,.263,.357,.453,.810
Chas McCormick,HOU,OF,94,242,32,51,6,1,5,27,17,72,8,.211,.271,.306,.577
Max Muncy,LAD,3B,73,237,47,55,17,0,15,48,45,77,1,.232,.358,.494,.852
David Peralta,SD,OF,91,236,35,63,11,0,8,28,22,54,2,.267,.335,.415,.750
Tim Anderson,MIA,SS,65,234,16,50,3,0,0,9,7,68,4,.214,.237,.226,.463
Sean Murphy,ATL,C,72,233,19,45,5,1,10,25,27,67,0,.193,.284,.352,.636
Austin Martin,MIN,OF,93,233,41,59,18,1,1,16,20,47,7,.253,.318,.352,.670
Jonah Bride,MIA,1B,71,232,30,64,10,0,11,39,30,55,0,.276,.357,.461,.818
Noelvi Marte,CIN,3B,66,229,24,48,9,0,4,18,9,75,9,.210,.248,.301,.549
Ivan Herrera,STL,C,72,229,37,69,12,1,5,27,25,53,5,.301,.372,.428,.800
Willie Calhoun,LAA,OF,68,229,26,56,16,0,5,20,23,31,0,.245,.315,.380,.695
Victor Robles,SEA,OF,77,229,41,75,20,0,4,26,16,44,30,.328,.393,.467,.860
Eloy Jimenez,CWS,DH,65,229,18,55,9,0,5,16,18,47,3,.240,.297,.345,.642
Juan Yepez,WSH,1B,62,226,32,64,15,0,6,26,18,42,2,.283,.335,.429,.764
Elehuris Montero,COL,3B,67,224,23,46,10,0,4,28,20,56,0,.205,.267,.304,.571
Andy Ibanez,DET,2B,99,224,30,54,9,1,5,32,15,63,2,.241,.295,.357,.652
Dominic Fletcher,CWS,OF,72,223,14,46,8,0,1,17,11,58,0,.206,.252,.256,.508
Matt Wallner,MIN,OF,75,220,26,57,17,1,13,37,24,95,3,.259,.372,.523,.895
Eddie Rosario,WSH,OF,67,219,26,40,11,0,7,26,13,54,8,.183,.226,.329,.555
Taylor Walls,TB,SS,84,218,27,40,5,3,1,14,31,67,16,.183,.282,.248,.530
Ramon Laureano,ATL,OF,67,216,28,64,13,1,10,29,8,64,5,.296,.327,.505,.832
Kyle Farmer,MIN,SS,107,215,26,46,13,1,5,25,19,49,3,.214,.293,.353,.646
Yasmani Grandal,PIT,C,72,215,26,49,10,0,9,27,24,46,1,.228,.304,.400,.704
Wilmer Flores,SF,1B,71,214,19,44,12,0,4,26,20,33,0,.206,.277,.318,.595
James McCann,BAL,C,66,214,27,50,9,0,8,31,13,56,1,.234,.279,.388,.667
Chris Taylor,LAD,2B,87,213,28,43,7,1,4,23,28,76,5,.202,.298,.300,.598
Garrett Hampson,KC,SS,113,213,16,49,13,1,0,16,14,59,7,.230,.275,.300,.575
Triston Casas,BOS,1B,63,212,28,51,8,0,13,32,30,77,0,.241,.337,.462,.799
Hunter Goodman,COL,C,70,211,24,40,9,0,13,36,8,64,1,.190,.228,.417,.645
Jose Trevino,NYY,C,74,209,26,45,5,0,8,28,20,41,1,.215,.288,.354,.642
Stuart Fairchild,CIN,OF,94,209,33,45,8,0,8,30,17,60,13,.215,.286,.368,.654
Isiah Kiner-Falefa,PIT,SS,50,208,21,50,10,2,1,10,3,41,8,.240,.265,.322,.587
Addison Barger,TOR,3B,69,208,20,41,11,0,7,28,14,60,2,.197,.250,.351,.601
Anthony Rendon,LAA,3B,57,206,21,45,10,0,0,14,23,35,6,.218,.307,.267,.574
Nick Senzel,WSH,OF,64,206,25,43,10,0,7,18,27,53,1,.209,.303,.359,.662
Nelson Velazquez,KC,DH,64,205,31,41,8,1,8,27,19,61,2,.200,.274,.366,.640
Justyn-Henry Malloy,DET,OF,71,202,18,41,7,1,8,21,23,85,1,.203,.291,.366,.657
Pedro Pages,STL,C,68,202,19,48,3,2,7,27,13,58,2,.238,.281,.376,.657
Enmanuel Valdez,BOS,2B,76,201,23,43,12,0,6,28,17,53,1,.214,.270,.363,.633
Emmanuel Rivera,MIA,3B,97,201,15,43,6,1,1,15,20,51,2,.214,.294,.269,.563
DJ LeMahieu,NYY,3B,67,201,19,41,5,0,2,26,19,35,0,.204,.269,.259,.528
Kevin Kiermaier,TOR,OF,82,200,24,39,7,2,4,18,10,66,5,.195,.236,.310,.546
Randy Arozarena,SEA,OF,54,199,32,46,14,0,5,23,28,68,4,.231,.356,.377,.733
Romy Gonzalez,BOS,2B,89,199,25,53,10,1,6,29,12,58,11,.266,.306,.417,.723
Danny Jansen,TOR,C,62,198,27,42,13,0,6,18,25,42,0,.212,.303,.369,.672
Garrett Mitchell,MIL,OF,69,196,33,50,12,3,8,21,25,71,11,.255,.342,.469,.811
Daniel Schneemann,CLE,SS,73,193,17,42,10,2,5,22,25,70,3,.218,.303,.368,.671
Ronald Acuna,ATL,OF,49,192,38,48,8,1,4,15,27,53,16,.250,.351,.365,.716
Jorge Mateo,BAL,2B,68,192,30,44,14,2,5,18,10,48,13,.229,.267,.401,.668
Travis Jankowski,TEX,OF,104,190,19,38,5,0,1,12,12,44,11,.200,.266,.242,.508
Trey Lipscomb,WSH,3B,61,190,20,38,3,0,1,10,16,40,11,.200,.268,.232,.500
Jackson Holliday,BAL,2B,60,190,28,36,4,2,5,23,15,69,4,.189,.255,.311,.566
Tyler Soderstrom,OAK,1B,61,189,18,44,10,0,9,26,20,53,0,.233,.315,.429,.744
Carson Kelly,DET,C,60,179,21,43,4,1,7,29,17,40,0,.240,.325,.391,.716
Trent Grisham,NYY,OF,76,179,21,34,8,0,9,31,22,57,1,.190,.290,.385,.675
Isaac Paredes,CHC,3B,52,179,23,40,6,0,3,25,24,37,1,.223,.325,.307,.632
Ty France,CIN,1B,52,179,18,45,10,0,5,20,10,31,1,.251,.292,.391,.683
Leo Jimenez,TOR,SS,63,179,18,41,11,0,4,19,12,59,0,.229,.329,.358,.687
Jhonkensy Noel,CLE,OF,67,179,25,39,7,1,13,28,13,63,0,.218,.288,.486,.774
Josh Jung,TEX,3B,46,178,19,47,5,1,7,16,8,48,4,.264,.298,.421,.719
Jazz Chisholm,NYY,3B,46,176,28,48,7,0,11,23,14,45,18,.273,.325,.500,.825
Edward Olivares,PIT,OF,55,174,22,39,4,0,5,23,16,37,1,.224,.291,.333,.624
Christopher Morel,TB,2B,49,173,13,33,4,2,3,9,14,56,1,.191,.258,.289,.547
Corey Julks,CWS,OF,66,173,17,37,7,0,3,14,15,50,5,.214,.275,.306,.581
Jason Heyward,LAD,OF,63,173,25,36,10,2,6,28,17,36,4,.208,.289,.393,.682
Brooks Lee,MIN,SS,50,172,9,38,6,1,3,27,11,27,3,.221,.265,.320,.585
Lane Thomas,CLE,OF,53,172,23,36,10,0,7,23,12,65,4,.209,.267,.390,.657
Daz Cameron,OAK,OF,66,170,22,34,5,1,5,15,13,51,5,.200,.258,.329,.587
Jordan Beck,COL,OF,55,170,14,32,6,0,3,13,12,65,7,.188,.245,.276,.521
Dominic Canzone,SEA,OF,67,168,20,33,7,0,8,17,18,53,1,.196,.271,.381,.652
Blaze Alexander,ARI,SS,61,166,19,41,7,0,3,21,15,49,3,.247,.321,.343,.664
Junior Caminero,TB,3B,43,165,15,41,9,1,6,18,11,38,2,.248,.299,.424,.723
Jordan Walker,STL,OF,51,164,16,33,10,1,5,20,10,50,1,.201,.253,.366,.619
Garrett Stubbs,PHI,C,56,164,18,34,4,1,1,11,17,50,5,.207,.296,.262,.558
Harold Ramirez,TB,DH,48,164,21,44,3,0,1,13,3,33,5,.268,.284,.305,.589
Bryan De La Cruz,PIT,OF,44,160,17,32,6,0,3,17,4,52,2,.200,.220,.294,.514
Justin Turner,SEA,1B,48,159,22,42,7,0,5,24,20,35,0,.264,.363,.403,.766
Alex Kirilloff,MIN,OF,57,159,20,32,8,3,5,20,15,47,0,.201,.270,.384,.654
DJ Stewart,NYM,OF,74,158,16,28,4,0,5,19,31,48,1,.177,.325,.297,.622
Patrick Wisdom,CHC,3B,75,158,16,27,7,2,8,23,10,59,5,.171,.237,.392,.629
Matt Thaiss,LAA,C,57,157,14,32,9,0,2,16,28,58,3,.204,.323,.299,.622
Austin Hays,BAL,OF,63,157,18,40,13,0,3,14,9,40,0,.255,.316,.395,.711
Jose Tena,WSH,3B,41,157,14,43,5,0,3,15,7,39,6,.274,.305,.363,.668
Kyle Stowers,MIA,OF,50,156,12,29,7,2,2,15,13,61,0,.186,.262,.295,.557
Whit Merrifield,PHI,2B,53,156,21,31,4,1,3,11,15,19,11,.199,.277,.295,.572
Nick Ahmed,SF,SS,52,155,13,36,6,1,1,15,10,35,1,.232,.278,.303,.581
Brett Baty,NYM,3B,50,153,15,35,3,0,4,16,16,42,0,.229,.306,.327,.633
Gabriel Arias,CLE,SS,53,153,15,34,9,1,3,15,6,53,5,.222,.255,.353,.608
Jorge Soler,ATL,OF,49,152,27,37,11,0,9,24,24,44,0,.243,.356,.493,.849
Ben Rice,NYY,1B,50,152,20,26,6,0,7,23,20,48,0,.171,.264,.349,.613
Angel Martinez,CLE,OF,43,151,16,35,7,0,3,11,15,33,3,.232,.298,.338,.636
Luis Matos,SF,OF,45,150,14,32,5,0,5,25,5,24,0,.213,.237,.347,.584
Nick Loftin,KC,1B,57,148,15,28,4,0,1,14,19,24,1,.189,.282,.236,.518
Connor Norby,MIA,3B,36,146,29,36,8,0,7,17,15,52,3,.247,.315,.445,.760
Nick Martini,CIN,OF,52,146,23,31,4,2,5,24,9,38,1,.212,.272,.370,.642
Kyle Manzardo,CLE,DH,53,145,11,34,12,0,5,15,9,41,0,.234,.282,.421,.703
Jung Hoo Lee,SF,OF,37,145,15,38,4,0,2,8,10,13,2,.262,.310,.331,.641
Victor Scott,STL,OF,53,145,14,26,9,0,2,10,6,42,5,.179,.219,.283,.502
Evan Carter,TEX,OF,45,144,23,27,6,2,5,15,15,43,2,.188,.272,.361,.633
Kyle McCann,OAK,C,54,140,13,33,4,0,5,15,16,59,0,.236,.318,.371,.689
Josh Bell,ARI,1B,41,140,24,39,5,1,5,22,17,32,0,.279,.361,.436,.797
Austin Barnes,LAD,C,54,140,12,37,3,0,1,11,14,36,3,.264,.331,.307,.638
Alex Jackson,TB,C,58,139,17,17,7,0,3,12,12,53,1,.122,.201,.237,.438
Reese McGuire,BOS,C,53,139,10,29,3,0,3,18,13,39,3,.209,.280,.295,.575
Tommy Edman,LAD,OF,37,139,20,33,5,1,6,20,11,30,6,.237,.294,.417,.711
Sam Hilliard,COL,OF,58,138,26,33,5,1,10,27,14,56,5,.239,.305,.507,.812
Tyler Wade,SD,3B,90,138,28,30,3,0,0,8,11,29,8,.217,.285,.239,.524
Whit Merrifield,ATL,2B,42,137,23,34,5,2,1,4,20,33,6,.248,.348,.336,.684
Luis Arraez,MIA,1B,33,137,22,41,8,1,0,5,8,11,0,.299,.347,.372,.719
Matt Carpenter,STL,DH,59,137,15,32,7,0,4,15,15,51,0,.234,.314,.372,.686
Pavin Smith,ARI,OF,60,137,26,37,11,0,9,36,18,31,1,.270,.348,.547,.895
Joey Loperfido,TOR,OF,43,137,13,27,8,3,2,9,6,52,2,.197,.236,.343,.579
James Outman,LAD,OF,53,136,12,20,4,0,4,11,16,55,2,.147,.256,.265,.521
Miguel Vargas,CWS,3B,42,135,11,14,3,0,2,7,17,41,2,.104,.217,.170,.387
Martin Maldonado,CWS,C,48,135,9,16,3,0,4,11,8,51,0,.119,.174,.230,.404
Luke Maile,CIN,C,55,135,8,24,4,0,2,8,13,52,2,.178,.268,.252,.520
Kris Bryant,COL,DH,37,133,9,29,5,0,2,15,13,48,0,.218,.323,.301,.624
Austin Hedges,CLE,C,66,132,12,20,3,0,2,15,6,50,2,.152,.203,.220,.423
Gio Urshela,ATL,3B,36,132,9,35,9,0,4,15,4,23,0,.265,.287,.424,.711
Danny Mendick,CWS,SS,47,132,13,26,7,0,3,8,6,35,6,.197,.243,.318,.561
Jonathan Aranda,TB,1B,44,128,22,30,7,0,6,14,12,32,0,.234,.308,.430,.738
Andruw Monasterio,MIL,2B,59,125,14,26,5,0,1,16,16,40,6,.208,.303,.272,.575
Grant McCray,SF,OF,37,124,13,25,3,2,5,10,6,56,5,.202,.238,.379,.617
J.D. Davis,OAK,3B,39,123,12,29,4,0,4,5,9,30,0,.236,.304,.366,.670
Curtis Mead,TB,2B,38,122,10,29,3,0,1,7,6,30,2,.238,.282,.287,.569
Dylan Carlson,STL,OF,59,121,12,24,5,0,0,11,12,37,0,.198,.275,.240,.515
Andres Chaparro,WSH,DH,33,121,12,26,12,0,4,15,7,24,1,.215,.280,.413,.693
Darell Hernaiz,OAK,3B,48,120,8,23,3,0,1,12,11,27,1,.192,.261,.242,.503
Dairon Blanco,KC,OF,88,120,37,31,4,0,4,13,8,32,31,.258,.308,.392,.700
Dylan Crews,WSH,OF,31,119,12,26,5,1,3,8,11,26,12,.218,.288,.353,.641
Luis Torrens,NYM,C,48,118,14,27,8,0,3,15,9,28,0,.229,.292,.373,.665
Riley Adams,WSH,C,41,116,10,26,5,1,2,8,10,35,1,.224,.292,.336,.628
Christian Encarnacion-Strand,CIN,1B,29,116,13,22,6,0,2,16,4,35,0,.190,.220,.293,.513
Jesse Winker,NYM,OF,44,115,12,28,5,0,3,13,10,22,0,.243,.318,.365,.683
Dylan Carlson,TB,OF,37,114,7,25,2,0,3,14,10,38,2,.219,.299,.316,.615
Kody Clemens,PHI,3B,44,114,17,25,9,1,5,18,5,29,0,.219,.258,.447,.705
Brooks Baldwin,CWS,2B,33,114,9,24,6,0,2,8,6,31,4,.211,.250,.316,.566
Jerar Encarnacion,SF,OF,35,113,13,28,5,0,5,19,5,34,1,.248,.277,.425,.702
Jose Abreu,HOU,1B,35,113,10,14,2,0,2,7,4,28,0,.124,.167,.195,.362
Cavan Biggio,TOR,2B,44,110,15,22,4,0,2,9,14,42,2,.200,.323,.291,.614
Michael Stefanic,LAA,2B,40,110,8,24,4,0,0,8,10,20,0,.218,.301,.255,.556
Trey Sweeney,DET,SS,36,110,11,24,5,0,4,17,7,32,2,.218,.269,.373,.642
Mike Trout,LAA,OF,29,109,17,24,1,2,10,14,16,27,6,.220,.325,.541,.866
Curt Casali,SF,C,41,108,12,21,3,0,1,8,13,22,0,.194,.293,.250,.543
Paul DeJong,KC,SS,37,108,15,24,3,0,6,15,9,44,0,.222,.277,.417,.694
Derek Hill,MIA,OF,32,107,11,25,4,1,4,18,2,39,4,.234,.259,.402,.661
Casey Schmitt,SF,2B,40,107,11,27,4,1,6,16,4,25,0,.252,.283,.477,.760
Joey Loperfido,HOU,OF,38,106,11,25,5,1,2,16,7,43,2,.236,.299,.358,.657
