name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging
Johnathan Rodriguez,CLE,OF,13,31,6,4,1,0,0,5,9,14,0,.129,.325,.161,.486
Nick Senzel,CWS,OF,10,30,0,3,1,0,0,0,1,8,0,.100,.129,.133,.262
Nacho Alvarez,ATL,SS,8,30,1,3,0,0,0,0,0,10,0,.100,.156,.100,.256
Luis De Los Santos,TOR,3B,13,29,2,5,2,0,0,1,2,10,0,.172,.226,.241,.467
Forrest Wall,ATL,OF,13,29,3,7,0,0,0,1,3,6,3,.241,.313,.241,.554
Aledmys Diaz,OAK,SS,12,29,2,3,0,0,0,1,1,7,0,.103,.133,.103,.236
Jason Vosler,SEA,3B,10,28,2,5,1,1,0,3,2,9,0,.179,.233,.286,.519
Keston Hiura,LAA,1B,10,27,1,4,0,0,0,1,0,10,0,.148,.148,.148,.296
Owen Miller,MIL,2B,14,27,2,5,1,0,0,3,0,8,0,.185,.185,.222,.407
Dominic Smith,CIN,1B,9,26,4,5,2,0,0,0,3,11,0,.192,.276,.269,.545
Ehire Adrianza,LAA,OF,8,26,4,5,1,0,1,2,2,11,0,.192,.250,.346,.596
Matt Mervis,CHC,DH,9,26,1,3,1,0,0,3,1,8,0,.115,.148,.154,.302
Joey Wiemer,MIL,OF,19,26,2,4,0,0,0,0,1,9,1,.154,.185,.154,.339
Blake Dunn,CIN,OF,19,26,8,4,1,0,1,1,2,11,2,.154,.241,.308,.549
Trenton Brooks,SF,1B,12,25,3,3,0,0,0,1,4,6,1,.120,.241,.120,.361
Cesar Salazar,HOU,C,12,25,5,8,2,0,0,8,2,6,0,.320,.387,.400,.787
Billy McKinney,PIT,OF,10,25,4,5,1,0,0,2,2,13,0,.200,.286,.240,.526
Kevin Pillar,CWS,OF,17,25,1,4,2,0,1,4,4,8,2,.160,.290,.360,.650
Victor Robles,WSH,OF,14,25,3,3,0,0,0,2,5,9,4,.120,.281,.120,.401
Alexander Canario,CHC,OF,15,25,4,7,1,0,1,2,2,11,1,.280,.357,.440,.797
Cal Stevenson,PHI,OF,18,24,2,6,3,0,0,6,3,4,0,.250,.333,.375,.708
Ben Gamel,NYM,OF,18,23,9,5,1,0,0,0,7,7,1,.217,.400,.261,.661
Jace Peterson,ARI,3B,14,22,2,1,0,0,0,1,3,6,0,.045,.154,.045,.199
Donovan Walton,SF,SS,9,22,3,3,0,0,1,2,2,7,0,.136,.240,.273,.513
Grae Kessinger,HOU,3B,23,21,4,0,0,0,0,0,3,7,0,.000,.160,.000,.160
Tristan Gray,OAK,1B,8,21,0,3,1,0,0,0,3,13,0,.143,.250,.190,.440
Charles Leblanc,LAA,3B,11,21,6,4,0,0,2,6,7,9,0,.190,.393,.476,.869
Elias Diaz,SD,C,12,21,1,4,2,0,1,3,3,5,0,.190,.292,.429,.721
Luis Guillorme,ATL,2B,10,20,2,3,2,0,0,3,1,5,0,.150,.190,.250,.440
Jonatan Clase,TOR,OF,7,20,3,7,1,0,1,2,1,3,0,.350,.435,.550,.985
Pedro Leon,HOU,OF,7,20,2,2,0,0,0,0,1,10,2,.100,.143,.100,.243
Austin Wynns,CIN,C,7,19,3,7,4,0,0,2,0,5,0,.368,.400,.579,.979
J.D. Davis,NYY,3B,7,19,1,2,1,0,0,1,3,9,0,.105,.227,.158,.385
Austin Slater,CIN,OF,8,18,2,2,0,0,0,3,2,6,0,.111,.190,.111,.301
Bubba Thompson,CIN,OF,17,18,5,2,1,0,0,0,0,11,5,.111,.111,.167,.278
Mickey Gasper,BOS,C,13,18,1,0,0,0,0,0,4,8,0,.000,.217,.000,.217
Isaac Collins,MIL,OF,11,17,0,2,0,0,0,0,2,10,1,.118,.211,.118,.329
Jorge Barrosa,ARI,OF,8,17,3,3,2,0,0,1,0,2,1,.176,.176,.294,.470
Drew Waters,KC,OF,7,16,2,3,1,0,0,1,2,6,0,.188,.316,.250,.566
Brett Sullivan,SD,C,7,16,1,3,0,0,1,2,1,4,0,.188,.235,.375,.610
Niko Goodrum,TB,OF,9,16,1,3,0,0,0,0,1,6,0,.188,.235,.188,.423
Sam Haggerty,SEA,OF,8,15,1,1,0,0,0,1,1,4,1,.067,.125,.067,.192
Jason Delay,PIT,C,7,15,1,3,3,0,0,6,3,0,0,.200,.333,.400,.733
Kameron Misner,TB,OF,8,15,0,1,0,0,0,0,0,10,0,.067,.067,.067,.134
Rafael Ortega,CWS,OF,14,14,4,1,0,0,0,1,2,4,2,.071,.176,.071,.247
Jakson Reetz,SF,C,6,14,1,2,1,0,1,1,1,5,0,.143,.200,.429,.629
Darren Baker,WSH,2B,9,14,1,7,2,0,0,0,0,3,0,.500,.500,.643,1.143
Carlos Narvaez,NYY,C,6,13,0,3,0,0,0,0,2,6,0,.231,.333,.231,.564
Niko Goodrum,LAA,OF,4,13,1,0,0,0,0,0,2,4,1,.000,.133,.000,.133
DaShawn Keirsey,MIN,OF,6,13,1,2,0,0,1,1,0,1,0,.154,.214,.385,.599
Derek Hill,SF,OF,5,12,3,3,0,1,0,2,1,3,0,.250,.308,.417,.725
Hunter Feduccia,LAD,C,5,12,2,4,0,0,0,1,2,2,0,.333,.429,.333,.762
Luis Vazquez,CHC,SS,11,12,2,1,0,0,0,1,0,6,0,.083,.143,.083,.226
Brandon Lockridge,SD,OF,12,12,4,2,0,0,1,1,0,4,2,.167,.167,.417,.584
Bryce Teodosio,LAA,OF,5,12,1,1,0,0,0,0,0,5,0,.083,.083,.083,.166
Amed Rosario,LAD,2B,5,11,1,3,1,0,0,2,1,2,1,.273,.333,.364,.697
Buddy Kennedy,PHI,3B,8,11,1,2,1,0,0,2,2,3,0,.182,.308,.273,.581
Buddy Kennedy,DET,3B,6,10,2,2,0,0,1,4,2,4,1,.200,.308,.500,.808
J.P. Martinez,ATL,OF,7,10,2,2,1,0,0,0,0,4,1,.200,.200,.300,.500
Oswald Peraza,NYY,3B,4,10,2,2,0,0,1,1,1,3,0,.200,.273,.500,.773
Livan Soto,BAL,SS,12,10,1,3,1,0,0,0,3,2,0,.300,.462,.400,.862
Kevin Alcantara,CHC,OF,3,10,1,1,0,0,0,0,0,1,0,.100,.100,.100,.200
Michael Helman,MIN,2B,9,10,2,3,2,0,0,0,0,3,0,.300,.300,.500,.800
Liover Peguero,PIT,SS,3,10,0,2,1,0,0,2,0,3,0,.200,.200,.300,.500
Tyler Heineman,TOR,C,6,10,2,1,0,0,0,0,3,5,0,.100,.308,.100,.408
Levi Jordan,CIN,3B,7,10,1,1,1,0,0,1,0,3,0,.100,.091,.200,.291
Vinny Capra,MIL,3B,3,9,1,1,1,0,0,0,0,3,0,.111,.111,.222,.333
Tony Kemp,BAL,2B,5,9,1,0,0,0,0,0,1,1,0,.000,.100,.000,.100
Eddy Alvarez,NYM,2B,13,9,2,0,0,0,0,0,1,2,0,.000,.182,.000,.182
Rob Brantly,TB,C,3,9,0,1,0,0,0,0,0,2,0,.111,.111,.111,.222
Zack Short,NYM,2B,10,9,2,1,0,0,0,0,2,4,0,.111,.273,.111,.384
Edwin Rios,CIN,1B,5,9,1,1,0,0,0,0,1,4,0,.111,.200,.111,.311
David Fletcher,ATL,2B,5,8,0,2,0,0,0,2,0,1,0,.250,.222,.250,.472
CJ Alexander,KC,3B,4,8,0,1,0,0,0,0,0,3,0,.125,.125,.125,.250
Conner Capel,CIN,OF,5,8,1,2,0,0,0,0,0,2,1,.250,.250,.250,.500
